鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
西區,房地(土地+建物),臺中市西區中興街233號四樓之6,6.14,商,,,1091126,土地1建物1車位0,四層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0821220,72.63,1,1,1,有,有,無,13000,179,,0.0,0,,RPVOMLOKKIPFFAB48CC
東區,土地,復興段五小段6-33地號,170.0,其他,,,1091201,土地4建物0車位0,,,其他,,,,0.0,1,0,0,有,無,無,54000,318,,0.0,0,含增建或未登記建物。；外牆作為廣告使用。；,RPXPMLOKKIPFFAB88DC
南屯區,房地(土地+建物),臺中市南屯區黎明路二段236號3樓,190.0,住,,,1091121,土地2建物1車位0,全,5,透天厝,住商用,加強磚造,0690114,118.76,0,0,0,無,無,無,10000,84,,0.0,0,,RPVNMLOKKIPFFCB58CC
南屯區,房地(土地+建物),臺中市南屯區黎明路二段236號3樓,190.0,住,,,1091121,土地2建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0780512,118.76,0,0,0,無,無,有,10000,84,,0.0,0,本次租賃範圍為全棟透天的三樓且為兩間公司合租個別實價登錄申報,RPWNMLOKKIPFFCB68CC
西屯區,建物,臺中市西屯區惠民路３１號十二樓,0.0,其他,,,1091123,土地0建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890605,219.34,2,2,2,有,有,有,29617,135,坡道平面,0.0,0,,RPROMLOKKIPFFCB28CC
西屯區,房地(土地+建物),臺中市西屯區東大路一段680號十二樓之1,31.37,住,,,1091205,土地1建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0850923,142.21,3,2,2,有,有,無,16500,116,,0.0,0,,RPTPMLOKKIPFFCB58CC
西屯區,房地(土地+建物)+車位,臺中市西屯區西屯路三段166之100號九樓之8,11.88,住,,,1091208,土地1建物1車位1,九層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031119,96.59,2,2,1,有,有,有,25000,259,坡道機械,19.87,0,,RPVPMLOKKIPFFCB78CC
西屯區,建物,臺中市西屯區市政北二路238號14樓之2,5425.36,其他,,,1091209,土地0建物1車位2,十四層,36,辦公商業大樓,見其他登記事項,鋼骨鋼筋混凝土造,1030403,292.02,0,0,0,無,有,有,68000,233,坡道平面,40.2,0,,RPQQMLOKKIPFFCB38CC
西屯區,建物,臺中市西屯區國安一路１０５號六樓之６,0.0,住,,,1091123,土地0建物1車位1,六層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971127,146.54,3,2,2,有,有,有,26000,177,坡道平面,21.71,0,,RPTRMLOKKIPFFCB78CC
西屯區,建物,臺中市西屯區永福路６０號三樓之７,0.0,其他,,,1091123,土地0建物1車位1,三層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830106,127.65,3,2,2,有,有,有,18000,141,坡道機械,16.98,0,,RPXRMLOKKIPFFCB56CC
