鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市農權路三段163巷5號九樓之3,21.7,住,,,1071114,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,117.19,2,2,1,有,無,9030000,93712,坡道平面,34.17,1250000,,RPPQMLSKNHGGFBG38CB
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市農權路三段163巷5號十一樓之3,21.7,住,,,1060704,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,117.19,2,2,1,有,無,10050000,105999,坡道平面,34.17,1250000,,RPQQMLSKNHGGFBG48CB
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市農權路三段163巷5號四樓之5,20.35,住,,,1100116,土地1建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,84.03,2,2,1,有,無,7200000,85684,,0.0,0,,RPSQMLSKNHGGFBG68CB
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市農權路三段163巷5號五樓之5,21.94,住,,,1070720,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,118.2,2,2,1,有,無,8300000,83899,坡道平面,34.17,1250000,,RPTQMLSKNHGGFBG78CB
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市農權路三段163巷5號六樓之5,21.94,住,,,1060829,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,118.2,2,2,1,有,無,8880000,90801,坡道平面,34.17,1250000,,RPUQMLSKNHGGFBG88CB
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市農權路三段163巷5號八樓之5,21.94,住,,,1070126,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,118.2,2,2,1,有,無,9100000,93419,坡道平面,34.17,1250000,,RPXQMLSKNHGGFBG56CB
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市農權路三段163巷5號九樓之5,20.35,住,,,1071114,土地1建物1車位0,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,84.03,2,2,1,有,無,7880000,93776,,0.0,0,,RPORMLSKNHGGFBG38CB
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市農權路三段163巷5號十樓之5,21.94,住,,,1090307,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,118.2,2,2,1,有,無,8490000,86160,坡道平面,34.17,1250000,,RPPRMLSKNHGGFBG48CB
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市農權路三段163巷5號十一樓之5,21.94,住,,,1060704,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,118.2,2,2,1,有,無,10150000,105915,坡道平面,34.17,1250000,,RPRRMLSKNHGGFBG68CB
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市農權路三段163巷5號二樓之6,19.95,住,,,1060617,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,108.84,2,2,1,有,無,7790000,83186,坡道平面,29.62,1200000,,RPSRMLSKNHGGFBG78CB
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市農權路三段163巷5號三樓之6,20.75,住,,,1070802,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,113.39,2,2,1,有,無,7240000,75612,坡道平面,34.17,1250000,,RPTRMLSKNHGGFBG88CB
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市農權路三段163巷5號四樓之6,20.75,住,,,1060812,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,113.39,2,2,1,有,無,7240000,75612,坡道平面,34.17,1250000,,RPURMLSKNHGGFBG98CB
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市農權路三段163巷5號五樓之6,20.75,住,,,1071120,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,113.39,2,2,1,有,無,8080000,86216,坡道平面,34.17,1250000,,RPVRMLSKNHGGFBG09CB
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市農權路三段163巷5號八樓之6,20.75,住,,,1081107,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,113.39,2,2,1,有,無,8320000,89245,坡道平面,34.17,1250000,,RPWRMLSKNHGGFBG56CB
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市農權路三段163巷5號九樓之6,19.16,住,,,1071114,土地1建物1車位0,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,79.22,2,2,1,有,無,7430000,93789,,0.0,0,,RPXRMLSKNHGGFBG66CB
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市農權路三段163巷5號十樓之6,20.75,住,,,1071016,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,113.39,2,2,1,有,無,8680000,93789,坡道平面,34.17,1250000,,RPOSMLSKNHGGFBG48CB
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市農權路三段163巷5號二樓之7,19.71,住,,,1060620,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,107.78,2,2,1,有,無,7110000,75614,坡道平面,29.62,1200000,,RPPSMLSKNHGGFBG58CB
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市農權路三段163巷5號四樓之7,20.51,住,,,1060619,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,112.33,2,2,1,有,無,7260000,75614,坡道平面,34.17,1350000,,RPQSMLSKNHGGFBG68CB
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市農權路三段163巷5號九樓之7,18.92,住,,,1071114,土地1建物1車位0,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,78.16,2,2,1,有,無,7330000,93782,,0.0,0,,RPSSMLSKNHGGFBG88CB
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市農權路三段163巷5號十樓之7,20.51,住,,,1071016,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,112.33,2,2,1,有,無,8580000,93782,坡道平面,34.17,1250000,,RPTSMLSKNHGGFBG98CB
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市農權路三段163巷5號二樓之8,22.18,住,,,1080816,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,119.27,2,2,1,有,無,8040000,78613,坡道平面,34.17,1350000,,RPUSMLSKNHGGFBG09CB
