鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北投區,建物,臺北市北投區石牌路二段357巷3號7樓,0.0,住,,,1100318,土地0建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981224,316.76,4,2,2,有,有,有,129500,409,坡道平面,0.0,0,,RPVOMLLMLHGGFEA87CC
士林區,建物,臺北市士林區德行東路190巷30弄10號8樓,0.0,住,,,1100310,土地0建物1車位1,見其他登記事項,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790216,272.91,5,3,3,有,有,有,97000,355,坡道平面,0.0,0,,RPQPMLLMLHGGFEA47CC
中山區,建物,臺北市中山區北安路８４１巷１２號三樓,0.0,住,,,1100312,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731231,83.39,2,2,1,有,無,有,27000,324,,0.0,0,,RPRNMLLMLHGGFCA17CC
中山區,車位,臺北市中山區中山北路二段４４巷２５號地下一層,0.0,商,,,1100312,土地0建物0車位1,,14,其他,停車空間,鋼筋混凝土造,0971124,30.11,0,0,0,有,有,無,5000,,坡道平面,30.1,5000,,RPVNMLLMLHGGFCA57CC
內湖區,建物,臺北市內湖區大湖街１３１巷２弄２號六樓之１,0.0,商,,,1100312,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851231,98.02,3,2,2,有,有,有,30000,306,,0.0,0,,RPWNMLLMLHGGFCA67CC
中山區,建物,臺北市中山區中山北路一段27號八樓之1,0.0,商,,,1100315,土地0建物1車位0,八層,16,辦公商業大樓,商業用,鋼骨混凝土造,0851017,314.44,4,0,0,有,有,無,170000,541,,0.0,0,,RPQOMLLMLHGGFCA17CC
中山區,建物,臺北市中山區新生北路二段36號10樓,0.0,商,,,1100330,土地0建物1車位0,十層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850718,80.71,2,2,1,有,有,有,23000,285,,0.0,0,,RPTOMLLMLHGGFCA47CC
中山區,建物,臺北市中山區四平街45-6號6樓,0.0,住,,,1100330,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0610514,114.13,3,2,2,有,無,有,45000,394,,0.0,0,含管理費、稅金或水電等費用。；,RPUPMLLMLHGGFCA67CC
中山區,車位,臺北市中山區中山北路二段４４巷２５號地下一層,0.0,商,,,1100317,土地0建物0車位1,,14,其他,停車空間,鋼筋混凝土造,0971124,30.11,0,0,0,有,有,無,5000,,坡道平面,30.1,5000,,RPXPMLLMLHGGFCA97CC
內湖區,建物,臺北市內湖區內湖路二段265號10樓之5,0.0,商,,,1100327,土地0建物1車位0,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050601,83.25999999999999,1,1,1,有,無,有,43481,522,,0.0,0,含管理費、稅金或水電等費用。；,RPSQMLLMLHGGFCA57CC
中山區,建物,臺北市中山區民生東路2段1號4樓之2,0.0,商,,,1100315,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021112,202.96,4,2,2,有,有,有,102000,503,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPWQMLLMLHGGFCA97CC
內湖區,建物,臺北市內湖區瑞光路258巷51號5樓,0.0,工,,,1100303,土地0建物1車位1,五層,8,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1020815,1054.79,5,0,0,有,有,無,300000,284,坡道平面,36.35,0,,RPORMLLMLHGGFCA27CC
中山區,建物,臺北市中山區林森北路587號10樓之2,0.0,商,,,1100315,土地0建物1車位0,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000726,89.73,2,1,1,有,有,有,54000,602,,0.0,0,含管理費、稅金或水電等費用。；,RPPRMLLMLHGGFCA37CC
內湖區,建物,臺北市內湖區內湖路二段103巷42號六樓,0.0,住,,,1100301,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720912,125.45,3,2,2,有,有,有,32000,255,,0.0,0,,RPSRMLLMLHGGFCA67CC
中山區,房地(土地+建物),臺北市中山區建國北路一段71號2樓,21.46,住,,,1100318,土地1建物1車位0,二層,12,辦公商業大樓,商業用,鋼筋混凝土造,0731231,154.08,2,2,2,有,有,無,50000,325,,0.0,0,,RPVRMLLMLHGGFCA97CC
中山區,建物,臺北市中山區松江路２５９巷３１號,0.0,住,,,1100312,土地0建物0車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0730611,49.59,0,1,1,有,有,有,33000,665,,0.0,0,含增建或未登記建物。；部分承租。本租賃標的未計入共有部分之分算面積。租賃期間含免租金裝潢期。,RPXRMLLMLHGGFCA18CC
南港區,房地(土地+建物),臺北市南港區南港路二段290號,34.47,住,,,1100322,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0700130,123.62,0,0,0,無,無,無,35000,283,,0.0,0,,RPPNMLLMLHGGFDA07CC
松山區,建物,臺北市松山區民生東路三段113巷7弄15號,0.0,住,,,1100317,土地0建物1車位0,見其他登記事項,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0680125,334.2,0,0,0,無,有,無,136534,409,,0.0,0,,RPQOMLLMLHGGFDA27CC
松山區,建物,臺北市松山區南京東路三段259號9樓,0.0,商,,,1100305,土地0建物1車位0,九層,12,辦公商業大樓,商業用,鋼筋混凝土造,0720210,321.62,0,0,0,無,有,無,200000,622,,0.0,0,,RPSOMLLMLHGGFDA47CC
松山區,建物,臺北市松山區塔悠路３２３號二樓之9,0.0,住,,,1100317,土地0建物1車位0,二層,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,0821021,47.08,1,1,1,有,有,有,18000,382,,0.0,0,,RPTOMLLMLHGGFDA57CC
信義區,建物,臺北市信義區逸仙路42巷17號1樓,0.0,住,,,1100301,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,103.67,0,1,1,有,無,有,70000,675,,0.0,0,,RPVOMLLMLHGGFDA77CC
信義區,建物,臺北市信義區基隆路一段176號11樓之1,0.0,住,,,1100324,土地0建物1車位0,十一層,16,辦公商業大樓,見使用執照,鋼筋混凝土造,0810125,661.88,0,0,0,無,有,無,360396,545,,0.0,0,,RPWOMLLMLHGGFDA87CC
信義區,建物,臺北市信義區莊敬路369號,0.0,商,,,1100319,土地0建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0750331,95.46000000000001,0,0,0,無,無,無,47000,492,,0.0,0,,RPXOMLLMLHGGFDA97CC
信義區,建物,臺北市信義區基隆路一段200號6樓,0.0,住,,,1100325,土地0建物0車位0,六層,24,辦公商業大樓,商業用,鋼骨混凝土造,0811015,381.72,0,0,0,無,有,無,333477,874,,0.0,0,分割出租,RPOPMLLMLHGGFDA17CC
南港區,建物,臺北市南港區重陽路194號、196號9樓,0.0,其他,,,1100331,土地0建物1車位2,九層,12,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0950621,826.9200000000001,1,0,0,有,有,無,165000,200,坡道平面,0.0,0,,RPRPMLLMLHGGFDA47CC
南港區,建物,臺北市南港區重陽路198號9樓,0.0,其他,,,1100331,土地0建物1車位0,九層,12,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0950621,412.09000000000003,0,0,0,無,有,無,82000,199,,0.0,0,,RPSPMLLMLHGGFDA57CC
松山區,建物,臺北市松山區八德路四段135號五樓,0.0,住,,,1100310,土地0建物1車位0,五層,7,辦公商業大樓,商業用,鋼筋混凝土造,0810131,292.96,6,0,0,有,有,無,100000,341,,0.0,0,,RPTPMLLMLHGGFDA67CC
中正區,建物,臺北市中正區延平南路6號,0.0,商,,,1100319,土地0建物2車位2,見其他登記事項,5,辦公商業大樓,住商用,鋼筋混凝土造,0601103,766.24,5,5,5,有,無,無,315000,411,一樓平面,0.0,0,,RPRNMLLMLHGGFBA07CC
中正區,建物,臺北市中正區延平南路8號,0.0,商,,,1100319,土地0建物1車位0,見其他登記事項,5,辦公商業大樓,住商用,鋼筋混凝土造,0601103,409.52,5,5,5,有,無,無,157500,385,,0.0,0,,RPTNMLLMLHGGFBA27CC
萬華區,建物,臺北市萬華區和平西路三段65號,0.0,商,,,1100218,土地0建物1車位0,一層,4,店面(店鋪),商業用,加強磚造,0590604,42.54,2,1,1,有,無,無,24000,564,,0.0,0,,RPVNMLLMLHGGFBA47CC
萬華區,建物,臺北市萬華區西寧南路108號5樓之2,0.0,商,,,1100316,土地0建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000513,104.0,2,1,1,有,無,有,35000,337,,0.0,0,含管理費、稅金或水電等費用。；,RPWPMLLMLHGGFBA77CC
大同區,建物,臺北市大同區太原路80號12樓,0.0,商,,,1100304,土地0建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971211,138.42000000000002,3,2,1,有,有,有,55000,397,,0.0,0,,RPXPMLLMLHGGFBA87CC
大同區,建物,臺北市大同區錦西街38巷38號3樓之1,0.0,商,,,1100320,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0890428,111.81,0,0,0,無,無,有,40000,358,,0.0,0,,RPSNMLLJMHGGFBA96CC
中正區,建物,臺北市中正區仁愛路一段４９號七樓,0.0,住,,,1100316,土地0建物1車位1,七層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870724,213.84000000000003,4,2,2,有,有,有,57000,267,坡道平面,0.0,0,,RPUNMLLJMHGGFBA17CC
大同區,建物,臺北市大同區重慶北路三段１１３巷５９號,0.0,住,,,1100318,土地0建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0790507,250.79000000000002,1,1,0,有,有,無,110000,439,,0.0,0,,RPVNMLLJMHGGFBA27CC
萬華區,建物,臺北市萬華區桂林路210號4樓,0.0,住,,,1100315,土地0建物1車位0,四層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0720929,47.37,1,1,1,有,無,有,14000,296,,0.0,0,,RPOOMLLJMHGGFBA66CC
萬華區,房地(土地+建物),臺北市萬華區昆明街201巷18號2樓,99.0,商,,,1100308,土地2建物1車位0,二層,4,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0681019,69.92,2,1,1,有,無,有,23000,329,,0.0,0,,RPWOMLLJMHGGFBA47CC
大同區,建物,臺北市大同區迪化街二段23巷11號二樓,0.0,住,,,1100309,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660119,56.02,2,1,1,有,無,有,15000,268,,0.0,0,住宅及都市更新中心108年社會住宅包租代管第二期計畫,RPOPMLLJMHGGFBA76CC
信義區,建物,臺北市信義區忠孝東路五段410號17樓之2,0.0,商,,,1100331,土地0建物1車位0,十七層,18,辦公商業大樓,見使用執照,鋼筋混凝土造,0860121,79.03999999999999,1,1,1,有,無,有,32000,405,,0.0,0,,RPOOMLLJMHGGFDA86CC
信義區,建物,臺北市信義區吳興街345號,0.0,住,,,1100401,土地0建物1車位0,一層,4,店面(店鋪),商業用,鋼筋混凝土造,0680801,113.23,0,0,0,無,無,無,50000,442,,0.0,0,續租。；,RPSOMLLJMHGGFDA27CC
信義區,建物,臺北市信義區忠孝東路五段101號4樓,0.0,住,,,1100325,土地0建物1車位0,四層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030829,101.41,2,2,1,有,有,有,80000,789,,0.0,0,續租。；,RPWPMLLJMHGGFDA77CC
松山區,建物,臺北市松山區三民路43巷19號4樓之2,0.0,住,,,1100331,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931020,244.77999999999997,3,2,2,有,有,有,68000,278,,0.0,0,,RPPQMLLJMHGGFDA17CC
信義區,建物,臺北市信義區光復南路415巷46號,0.0,住,,,1100307,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0740919,48.94,0,0,0,無,無,有,45000,919,,0.0,0,,RPSQMLLJMHGGFDA47CC
內湖區,建物,臺北市內湖區環山路二段２８之７號,0.0,住,,,1100316,土地0建物1車位0,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070928,76.6,2,1,1,有,有,有,38500,503,,0.0,0,,RPSNMLLJMHGGFCA07CC
