鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中正區,建物,基隆市中正區正義路2巷43之2號2樓,0.0,住,,,1100309,土地0建物1車位0,見其他登記事項,0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740126,94.78,2,1,1,有,無,有,10000,106,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPPOMLQJMHGGFBC47CC
信義區,建物,基隆市信義區義六路34巷28之2號,0.0,住,,,1100315,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0570829,73.62,3,1,1,有,無,有,10000,136,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPTOMLQJMHGGFBC87CC
信義區,建物,基隆市信義區教孝街73號11樓之3,0.0,住,,,1100310,土地0建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820618,91.15,3,1,2,有,有,有,12000,132,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPUOMLQJMHGGFBC97CC
仁愛區,建物,基隆市仁愛區成功一路133巷25號8樓,0.0,住,,,1100308,土地0建物1車位0,八層,14,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0860630,109.68,3,2,2,有,有,有,15000,137,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPWNMLRJMHGGFBC18CC
中正區,建物,基隆市中正區新豐街303巷21弄24號4樓,0.0,住,,,1100308,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0851119,70.53,3,2,1,有,無,有,9000,128,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPXNMLRJMHGGFBC28CC
中正區,建物,基隆市中正區祥豐街181之1號5樓,0.0,住,,,1100310,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790721,59.76,3,1,1,有,無,有,8500,142,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPOOMLRJMHGGFBC47CC
中正區,建物,基隆市中正區調和街296號5樓之3,0.0,住,,,1100312,土地0建物1車位0,五層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080212,42.56,1,1,1,有,有,有,9000,211,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPPOMLRJMHGGFBC57CC
信義區,建物,基隆市信義區教孝街81號14樓之2,0.0,住,,,1100312,土地0建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820618,64.07,2,1,1,有,有,有,10000,156,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPQOMLRJMHGGFBC67CC
安樂區,建物,基隆市安樂區中和路85巷38號7樓,0.0,住,,,1100310,土地0建物1車位0,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860508,39.48,2,1,1,有,有,有,7000,177,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPQOMLRJMHGGFCC77CC
七堵區,建物,基隆市七堵區崇廉街26號5樓,0.0,住,,,1100310,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840622,66.41,2,2,1,有,無,有,9000,136,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPROMLRJMHGGFCC87CC
