鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
大園區,房地(土地+建物)+車位,桃園市大園區高鐵南路一段50號3樓之6,15.13,住,,,1100314,土地1建物1車位1,三層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060815,125.13,2,2,1,有,有,有,20000,160,坡道平面,0.0,0,,RPQNMLOKLHGGFEH08CC
大園區,房地(土地+建物)+車位,桃園市大園區和平西路102號10樓之1,32.33,住,,,1100303,土地1建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070903,180.45999999999998,3,2,2,有,有,無,18700,110,坡道平面,30.24,2200,管理費、停車位管理費由承租人負擔，共計2523元整,RPUNMLPKLHGGFEH58CC
八德區,建物,桃園市八德區永福西街16之2號,0.0,住,,,1100222,土地0建物1車位0,三層,3,公寓(5樓含以下無電梯),住家用,加強磚造,0670323,67.6,2,2,1,有,無,有,12500,185,,0.0,0,,RPRNMLPKLHGGFFH38CC
八德區,房地(土地+建物),桃園市八德區興仁路60之10號三樓,10.45,住,,,1100315,土地1建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851001,61.56,3,2,2,有,有,有,11000,179,,0.0,0,,RPSNMLPKLHGGFFH48CC
八德區,房地(土地+建物)+車位,桃園市八德區廣興二路71號3樓,28.42,住,,,1100303,土地1建物1車位1,三層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040804,149.12,2,1,1,有,有,有,15000,101,坡道平面,34.77,0,管理費由承租人負擔每月2175元整，車位免費提供給承租人使用,RPVNMLPKLHGGFFH78CC
八德區,房地(土地+建物)+車位,桃園市八德區介壽路一段112之2號10樓,11.29,住,,,1100309,土地1建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941014,169.13,4,2,2,有,有,有,18500,109,坡道平面,0.0,3500,管理費、停車位管理費由承租人負擔，共計3500元整,RPVOMLPKLHGGFFH88CC
楊梅區,建物,桃園市楊梅區高獅路679號,0.0,,工業區,丁種建築用地,1100224,土地0建物1車位0,見其他登記事項,1,工廠,見其他登記事項,見其他登記事項,0960427,935.32,0,0,0,無,無,無,315000,,,0.0,0,含增建或未登記建物。；此案件租金內含稅金,RPXOMLPKLHGGFDH88CC
楊梅區,房地(土地+建物)+車位,桃園市楊梅區四維路171號3樓之17,7.46,住,,,1100308,土地1建物1車位1,三層,11,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960726,69.42,1,0,1,有,有,有,10000,144,坡道平面,0.0,2000,管理費、停車位管理費由承租人負擔，共計850元整,RPOPMLPKLHGGFDH08CC
八德區,建物,桃園市八德區中華路267號一樓,16.2,住,,,1091216,土地0建物1車位0,見其他登記事項,5,店面(店鋪),見其他登記事項,鋼筋混凝土造,0720517,94.86,0,0,0,無,無,無,40000,422,,0.0,0,含增建或未登記建物。；租賃範圍不含車位，且無法區分車位面積。；,RPPNMLPKLHGGFFH38EC
八德區,房地(土地+建物)+車位,桃園市八德區大智路106號六樓,24.84,住,,,1100313,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001118,187.76,3,2,2,有,有,有,19000,101,坡道平面,48.04,0,,RPTNMLPKLHGGFFH68DC
龜山區,建物,桃園市龜山區光?路千禧新城81號13樓,0.0,住,,,1100310,土地0建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920821,138.0,3,2,1,有,有,有,14500,105,,0.0,0,管理費由承租人負擔720元整,RPXNMLPKLHGGFHH56CC
桃園區,建物,桃園市桃園區大興西路二段139巷157號4樓,0.0,住,,,1100218,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970424,86.25,1,0,0,無,有,有,13000,200,坡道平面,33.87,2500,,RPQOMLPKLHGGFAH87CC
