鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
南港區,房地(土地+建物)+車位,臺北市南港區舊莊街一段 B3戶12樓,10.25,住,,,1090703,土地13建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.96,2,1,1,有,無,12480000,168353,坡道平面,35.71,2000000,,RPTTMLPKMHGGFDA38DB
南港區,房地(土地+建物)+車位,臺北市南港區舊莊街一段 B3戶13樓,10.25,住,,,1091015,土地13建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.96,2,1,1,有,無,12850000,171084,坡道平面,35.71,2200000,,RPUTMLPKMHGGFDA48DB
南港區,房地(土地+建物)+車位,臺北市南港區舊莊街一段 B3戶14樓,10.25,住,,,1091022,土地13建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.96,2,1,1,有,無,12600000,172691,坡道平面,35.71,1850000,,RPVTMLPKMHGGFDA58DB
南港區,房地(土地+建物)+車位,臺北市南港區舊莊街一段 B3戶15樓,10.25,住,,,1091029,土地13建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.96,2,1,1,有,無,12660000,169639,坡道平面,35.71,2100000,,RPWTMLPKMHGGFDA68DB
南港區,房地(土地+建物)+車位,臺北市南港區舊莊街一段 B5戶2樓,23.88,住,,,1090706,土地13建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,180.66,3,1,2,有,無,23900000,147637,坡道平面,35.71,2500000,,RPXTMLPKMHGGFDA78DB
南港區,房地(土地+建物)+車位,臺北市南港區舊莊街一段 B5戶3樓,23.88,住,,,1090630,土地13建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,180.66,3,1,2,有,無,23080000,146119,坡道平面,35.71,1900000,,RPOUMLPKMHGGFDA97DB
南港區,房地(土地+建物)+車位,臺北市南港區舊莊街一段 B5戶5樓,23.88,住,,,1090701,土地13建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,180.66,3,1,2,有,無,24080000,150259,坡道平面,35.71,2300000,,RPPUMLPKMHGGFDA08DB
南港區,房地(土地+建物)+車位,臺北市南港區舊莊街一段 B5戶6樓,23.88,住,,,1090712,土地13建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,180.66,3,1,2,有,無,24480000,153018,坡道平面,35.71,2300000,,RPRUMLPKMHGGFDA28DB
南港區,房地(土地+建物)+車位,臺北市南港區舊莊街一段 B5戶8樓,23.88,住,,,1090825,土地13建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,180.66,3,1,2,有,無,25680000,159917,坡道平面,35.71,2500000,,RPWUMLPKMHGGFDA78DB
南港區,房地(土地+建物)+車位,臺北市南港區三重路41巷A2棟4樓,18.65,住,,,1090606,土地2建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.89,3,2,2,有,無,27300000,244338,坡道機械,21.48,1300000,,RPQUMLPKMHGGFDA08CB
